id,Datum,Warengruppe,Umsatz,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,KielerWoche
,2012-03-20,,,7.0,8.0875,18.0,51.0,
,2012-03-21,,,5.0,12.625,16.0,,
,2012-03-22,,,0.0,12.7625,6.0,2.0,
,2012-03-23,,,0.0,13.4875,6.0,,
,2012-03-24,,,5.0,7.8375,8.0,10.0,
,2012-03-25,,,0.0,13.1375,10.0,1.0,
,2012-03-26,,,7.0,8.4875,8.0,51.0,
,2012-03-27,,,4.0,15.5,10.0,,
,2012-03-28,,,3.0,14.8375,18.0,5.0,
,2012-03-29,,,6.0,8.9875,19.0,21.0,
,2012-03-30,,,3.0,9.9625,18.0,1.0,
,2012-03-31,,,4.0,6.1125,19.0,61.0,
,2012-04-01,,,7.0,6.525,19.0,25.0,
,2012-04-02,,,7.0,5.5875,16.0,,
,2012-04-03,,,7.0,3.3,10.0,22.0,
,2012-04-04,,,7.0,4.5875,18.0,21.0,
,2012-04-05,,,1.0,5.6375,10.0,,
,2012-04-06,,,7.0,6.2,18.0,61.0,
,2012-04-07,,,4.0,3.7125,19.0,,
,2012-04-08,,,2.0,5.75,10.0,,
,2012-04-09,,,8.0,6.5125,10.0,58.0,
,2012-04-10,,,8.0,10.5875,10.0,61.0,
,2012-04-11,,,7.0,10.475,12.0,,
,2012-04-12,,,6.0,9.575,12.0,81.0,
,2012-04-13,,,7.0,8.725,10.0,,
,2012-04-14,,,6.0,8.8125,8.0,25.0,
,2012-04-15,,,7.0,8.075,10.0,21.0,
,2012-04-16,,,4.0,7.5,16.0,80.0,
,2012-04-17,,,5.0,8.0375,12.0,,
,2012-04-18,,,6.0,9.6125,10.0,,
,2012-04-19,,,2.0,14.2375,14.0,,
,2012-04-20,,,6.0,9.225,10.0,95.0,
,2012-04-21,,,6.0,12.2,10.0,91.0,
,2012-04-22,,,6.0,9.9875,10.0,80.0,
,2012-04-23,,,6.0,9.95,10.0,81.0,
,2012-04-24,,,7.0,10.0,8.0,61.0,
,2012-04-25,,,6.0,11.6375,12.0,,
,2012-04-26,,,6.0,14.1875,14.0,60.0,
,2012-04-27,,,5.0,14.925,12.0,25.0,
,2012-04-28,,,6.0,9.5125,18.0,61.0,
,2012-04-29,,,7.0,11.4625,23.0,,
,2012-04-30,,,3.0,16.2375,8.0,,
,2012-05-01,,,5.0,13.4125,19.0,,
,2012-05-02,,,1.0,13.45,12.0,,
,2012-05-03,,,6.0,16.6,8.0,,
,2012-05-04,,,7.0,12.65,10.0,80.0,
,2012-05-05,,,2.0,10.5,8.0,,
,2012-05-06,,,5.0,8.6,8.0,,
,2012-05-07,,,7.0,7.575,6.0,61.0,
,2012-05-08,,,6.0,16.075,8.0,,
,2012-05-09,,,6.0,16.85,10.0,81.0,
,2012-05-10,,,7.0,17.85,12.0,61.0,
,2012-05-11,,,5.0,16.525,19.0,,
,2012-05-12,,,5.0,9.3875,23.0,80.0,
,2012-05-13,,,6.0,11.0125,10.0,,
,2012-05-14,,,6.0,14.525,12.0,,
,2012-05-15,,,7.0,11.45,10.0,,
,2012-05-16,,,6.0,8.8875,19.0,80.0,
,2012-05-17,,,4.0,10.8125,18.0,3.0,
,2012-05-18,,,6.0,16.2125,10.0,,
,2012-05-19,,,5.0,17.7625,6.0,,
,2012-05-20,,,6.0,18.475,10.0,,
,2012-05-21,,,5.0,18.514285,14.0,,
,2012-05-22,,,4.0,19.2,12.0,,
,2012-05-23,,,4.0,18.2375,14.0,,
,2012-05-24,,,0.0,18.8625,12.0,,
,2012-05-25,,,0.0,19.85,10.0,,
,2012-05-26,,,4.0,21.45,8.0,,
,2012-05-27,,,1.0,19.875,10.0,,
,2012-05-28,,,2.0,22.8375,14.0,,
,2012-05-29,,,4.0,15.35,12.0,,
,2012-05-30,,,6.0,12.9375,14.0,,
,2012-05-31,,,7.0,13.2625,10.0,61.0,
,2012-06-01,,,4.0,12.8875,19.0,25.0,
,2012-06-02,,,4.0,12.4625,16.0,25.0,
,2012-06-03,,,7.0,12.35,12.0,,
,2012-06-04,,,7.0,13.2125,14.0,,
,2012-06-05,,,5.0,13.2125,16.0,25.0,
,2012-06-06,,,7.0,13.8375,10.0,61.0,
,2012-06-07,,,7.0,15.1875,10.0,51.0,
,2012-06-08,,,4.0,19.3375,12.0,95.0,
,2012-06-09,,,6.0,14.6,14.0,61.0,
,2012-06-10,,,6.0,15.0,16.0,51.0,
,2012-06-11,,,3.0,16.525,8.0,,
,2012-06-12,,,7.0,14.1125,6.0,63.0,
,2012-06-13,,,4.0,15.1625,12.0,,
,2012-06-14,,,6.0,14.05,12.0,,
,2012-06-15,,,7.0,18.3125,8.0,63.0,
,2012-06-16,,,6.0,18.4625,10.0,25.0,1.0
,2012-06-17,,,6.0,16.9625,14.0,25.0,1.0
,2012-06-18,,,6.0,19.5875,19.0,95.0,1.0
,2012-06-19,,,6.0,17.3125,6.0,,1.0
,2012-06-20,,,6.0,17.65,12.0,,1.0
,2012-06-21,,,4.0,18.5125,16.0,,1.0
,2012-06-22,,,4.0,18.325,14.0,29.0,1.0
,2012-06-23,,,6.0,16.8875,12.0,80.0,1.0
,2012-06-24,,,8.0,12.875,12.0,63.0,1.0
,2012-06-25,,,6.0,13.8875,18.0,80.0,
,2012-06-26,,,6.0,14.3,18.0,20.0,
,2012-06-27,,,8.0,14.5625,10.0,,
,2012-06-28,,,6.0,18.2625,8.0,,
,2012-06-29,,,6.0,22.75,8.0,95.0,
,2012-06-30,,,5.0,23.1375,10.0,,
,2012-07-01,,,4.0,19.5125,14.0,,
,2012-07-02,,,6.0,19.4375,10.0,,
,2012-07-03,,,3.0,20.5375,12.0,,
,2012-07-04,,,5.0,19.95,12.0,,
,2012-07-05,,,7.0,17.2625,12.0,10.0,
,2012-07-06,,,7.0,18.5375,10.0,60.0,
,2012-07-07,,,7.0,20.7875,4.0,,
,2012-07-08,,,5.0,22.975,10.0,95.0,
,2012-07-09,,,7.0,16.5,16.0,61.0,
,2012-07-10,,,6.0,18.825,14.0,1.0,
,2012-07-11,,,6.0,17.15,14.0,29.0,
,2012-07-12,,,5.0,15.4875,14.0,81.0,
,2012-07-13,,,6.0,17.0875,6.0,21.0,
,2012-07-14,,,6.0,17.9125,19.0,25.0,
,2012-07-15,,,5.0,16.375,16.0,25.0,
,2012-07-16,,,5.0,16.875,16.0,80.0,
,2012-07-17,,,5.0,17.1375,18.0,80.0,
,2012-07-18,,,7.0,16.95,6.0,63.0,
,2012-07-19,,,7.0,15.8125,16.0,81.0,
,2012-07-20,,,6.0,15.25,16.0,80.0,
,2012-07-21,,,6.0,16.1625,16.0,,
,2012-07-22,,,4.0,18.325,12.0,,
,2012-07-23,,,2.0,22.483333,12.0,,
,2012-07-25,,,1.0,25.65,8.0,,
,2012-07-26,,,1.0,22.5875,8.0,,
,2012-07-27,,,1.0,26.075,10.0,,
,2012-07-28,,,7.0,18.95,14.0,63.0,
,2012-07-29,,,7.0,16.0375,8.0,61.0,
,2012-07-30,,,6.0,15.1875,10.0,95.0,
,2012-07-31,,,5.0,17.1625,12.0,,
,2012-08-01,,,6.0,21.0625,6.0,,
,2012-08-02,,,6.0,22.725,10.0,29.0,
,2012-08-03,,,4.0,20.6875,10.0,91.0,
,2012-08-04,,,6.0,18.225,6.0,61.0,
,2012-08-05,,,6.0,21.6125,4.0,,
,2012-08-06,,,5.0,19.575,16.0,80.0,
,2012-08-07,,,6.0,17.3125,14.0,80.0,
,2012-08-08,,,4.0,17.9,16.0,80.0,
,2012-08-09,,,5.0,18.35,12.0,,
,2012-08-10,,,6.0,17.3,14.0,25.0,
,2012-08-11,,,2.0,18.85,10.0,,
,2012-08-12,,,1.0,19.7875,12.0,,
,2012-08-13,,,2.0,20.0375,14.0,,
,2012-08-14,,,2.0,20.1625,12.0,,
,2012-08-15,,,1.0,20.4,14.0,,
,2012-08-16,,,6.0,17.325,10.0,63.0,
,2012-08-17,,,5.0,21.9375,8.0,,
,2012-08-18,,,6.0,27.525,8.0,,
,2012-08-19,,,2.0,26.875,8.0,,
,2012-08-20,,,3.0,26.15,16.0,,
,2012-08-21,,,6.0,20.8125,6.0,,
,2012-08-22,,,4.0,20.0125,18.0,,
,2012-08-23,,,5.0,19.8375,18.0,80.0,
,2012-08-24,,,7.0,16.2625,4.0,61.0,
,2012-08-25,,,6.0,18.8625,8.0,80.0,
,2012-08-26,,,6.0,17.325,14.0,95.0,
,2012-08-27,,,2.0,17.8625,12.0,,
,2012-08-28,,,7.0,19.5875,8.0,61.0,
,2012-08-29,,,4.0,20.6625,8.0,3.0,
,2012-08-30,,,7.0,19.2375,6.0,,
,2012-08-31,,,3.0,17.2875,14.0,,
,2012-09-01,,,6.0,16.6,12.0,,
,2012-09-02,,,6.0,19.15,14.0,,
,2012-09-03,,,4.0,19.475,12.0,,
,2012-09-04,,,4.0,20.5375,14.0,,
,2012-09-05,,,6.0,17.1375,14.0,80.0,
,2012-09-06,,,7.0,16.1125,14.0,,
,2012-09-07,,,7.0,16.125,12.0,58.0,
,2012-09-08,,,5.0,18.4625,16.0,51.0,
,2012-09-09,,,4.0,21.075,6.0,,
,2012-09-10,,,4.0,23.125,12.0,,
,2012-09-11,,,7.0,17.0875,12.0,61.0,
,2012-09-12,,,4.0,13.9625,12.0,80.0,
,2012-09-13,,,3.0,15.1,8.0,,
,2012-09-14,,,8.0,13.7125,16.0,61.0,
,2012-09-15,,,6.0,15.625,18.0,80.0,
,2012-09-16,,,3.0,18.35,12.0,,
,2012-09-17,,,4.0,17.4375,14.0,25.0,
,2012-09-18,,,6.0,15.0375,14.0,80.0,
,2012-09-19,,,5.0,10.6375,16.0,81.0,
,2012-09-20,,,6.0,11.4875,12.0,80.0,
,2012-09-21,,,7.0,14.25,14.0,21.0,
,2012-09-22,,,5.0,11.5,14.0,25.0,
,2012-09-23,,,4.0,13.65,10.0,,
,2012-09-24,,,8.0,10.4125,16.0,61.0,
,2012-09-25,,,7.0,14.925,10.0,80.0,
,2012-09-26,,,7.0,12.5625,6.0,61.0,
,2012-09-27,,,7.0,13.2,10.0,61.0,
,2012-09-28,,,6.0,13.5625,12.0,,
,2012-09-29,,,5.0,13.2625,16.0,25.0,
,2012-09-30,,,4.0,13.875,14.0,25.0,
,2012-10-01,,,7.0,13.8625,10.0,,
,2012-10-02,,,6.0,15.1625,10.0,10.0,
,2012-10-03,,,7.0,14.175,12.0,65.0,
,2012-10-04,,,7.0,10.45,10.0,80.0,
,2012-10-05,,,7.0,9.7375,14.0,61.0,
,2012-10-08,,,4.0,12.4375,12.0,80.0,
,2012-10-09,,,1.0,10.9875,19.0,80.0,
,2012-10-10,,,5.0,10.1,12.0,80.0,
,2012-10-11,,,4.0,11.4375,6.0,,
,2012-10-12,,,6.0,10.1375,10.0,61.0,
,2012-10-15,,,6.0,9.5875,10.0,51.0,
,2012-10-16,,,7.0,10.8875,12.0,61.0,
,2012-10-17,,,7.0,12.1,12.0,21.0,
,2012-10-18,,,6.0,16.775,8.0,,
,2012-10-19,,,3.0,19.35,6.0,,
,2012-10-22,,,8.0,12.675,8.0,10.0,
,2012-10-23,,,8.0,11.8875,8.0,51.0,
,2012-10-24,,,8.0,10.9875,6.0,51.0,
,2012-10-25,,,6.0,8.7375,16.0,80.0,
,2012-10-26,,,5.0,5.1875,8.0,,
,2012-10-29,,,8.0,3.625,14.0,61.0,
,2012-10-30,,,4.0,7.0625,8.0,25.0,
,2012-10-31,,,6.0,7.95,10.0,10.0,
,2012-11-01,,,7.0,5.8125,10.0,,
,2012-11-02,,,7.0,7.475,12.0,21.0,
,2012-11-05,,,7.0,6.5875,10.0,61.0,
,2012-11-06,,,6.0,7.45,14.0,80.0,
,2012-11-07,,,7.0,10.3,16.0,51.0,
,2012-11-08,,,7.0,9.6625,16.0,80.0,
,2012-11-09,,,7.0,9.5,8.0,20.0,
,2012-11-12,,,6.0,7.3125,12.0,80.0,
,2012-11-13,,,7.0,7.2,8.0,10.0,
,2012-11-14,,,8.0,9.6625,6.0,10.0,
,2012-11-15,,,7.0,8.7125,6.0,5.0,
,2012-11-16,,,7.0,-0.275,6.0,10.0,
,2012-11-19,,,3.0,6.125,8.0,3.0,
,2012-11-20,,,6.0,7.675,8.0,10.0,
,2012-11-21,,,8.0,6.1875,12.0,10.0,
,2012-11-22,,,4.0,9.1,14.0,3.0,
,2012-11-23,,,7.0,6.7,10.0,61.0,
,2012-11-26,,,6.0,8.1625,10.0,,
,2012-11-27,,,7.0,7.625,8.0,20.0,
,2012-11-28,,,8.0,5.325,8.0,51.0,
,2012-11-29,,,7.0,3.4625,14.0,61.0,
,2012-11-30,,,2.0,0.725,10.0,,
,2012-12-03,,,8.0,1.033333,8.0,10.0,
,2012-12-04,,,7.0,1.375,8.0,69.0,
,2012-12-05,,,2.0,-4.7875,10.0,,
,2012-12-06,,,1.0,-4.45,8.0,,
,2012-12-07,,,4.0,-1.7875,8.0,10.0,
,2012-12-10,,,8.0,0.1875,18.0,71.0,
,2012-12-11,,,6.0,-1.8625,14.0,,
,2012-12-12,,,3.0,-5.7375,4.0,10.0,
,2012-12-13,,,7.0,-2.0625,4.0,78.0,
,2012-12-14,,,7.0,-2.6875,10.0,10.0,
,2012-12-17,,,8.0,4.1875,4.0,47.0,
,2012-12-18,,,8.0,3.6375,10.0,61.0,
,2012-12-19,,,7.0,2.8625,6.0,20.0,
,2012-12-20,,,7.0,2.0875,12.0,5.0,
,2012-12-21,,,7.0,-0.2125,10.0,13.0,
,2013-04-30,,,3.0,11.116666,15.0,0.0,
,2013-05-01,,,0.0,9.9,11.0,,
,2013-05-02,,,1.0,11.0375,12.0,,
,2013-05-03,,,0.0,12.9125,9.0,,
,2013-05-04,,,0.0,17.95,18.0,,
,2013-05-05,,,3.0,16.2125,10.0,,
,2013-05-06,,,0.0,15.675,8.0,,
,2013-05-07,,,1.0,17.4125,10.0,21.0,
,2013-05-08,,,4.0,18.8125,9.0,21.0,
,2013-05-09,,,7.0,16.125,11.0,21.0,
,2013-05-10,,,5.0,15.5,12.0,21.0,
,2013-05-11,,,7.0,15.4125,11.0,,
,2013-05-12,,,7.0,11.7125,12.0,61.0,
,2013-05-13,,,7.0,11.4375,10.0,65.0,
,2013-05-14,,,5.0,12.6,10.0,21.0,
,2013-05-15,,,4.0,20.5375,10.0,61.0,
,2013-05-16,,,0.0,16.1625,13.0,5.0,
,2013-05-17,,,0.0,21.3125,11.0,5.0,
,2013-05-18,,,7.0,13.85,12.0,10.0,
,2013-05-19,,,8.0,13.05,5.0,20.0,
,2013-05-20,,,7.0,15.775,8.0,21.0,
,2013-05-21,,,7.0,12.525,9.0,65.0,
,2013-05-22,,,7.0,9.0625,23.0,63.0,
,2013-05-23,,,5.0,10.525,8.0,61.0,
,2013-05-24,,,5.0,12.5,8.0,61.0,
,2013-05-25,,,7.0,11.3375,11.0,63.0,
,2013-05-26,,,7.0,14.1625,15.0,63.0,
,2013-05-27,,,6.0,14.7875,10.0,,
,2013-05-28,,,6.0,15.4,10.0,20.0,
,2013-05-29,,,7.0,13.6625,14.0,61.0,
,2013-05-30,,,4.0,16.125,11.0,21.0,
,2013-05-31,,,3.0,17.65,12.0,,
,2013-06-01,,,3.0,20.3875,10.0,21.0,
,2013-06-02,,,2.0,14.975,18.0,,
,2013-06-03,,,0.0,17.35,13.0,,
,2013-06-04,,,3.0,17.1625,15.0,,
,2013-06-05,,,4.0,19.0875,9.0,,
,2013-06-06,,,0.0,20.85,12.0,,
,2013-06-07,,,0.0,19.7,8.0,,
,2013-06-08,,,1.0,16.9625,9.0,,
,2013-06-09,,,4.0,15.8875,7.0,,
,2013-06-10,,,2.0,17.725,8.0,0.0,
,2013-06-11,,,2.0,16.6625,9.0,,
,2013-06-12,,,5.0,22.35,7.0,,
,2013-06-14,,,2.0,16.7125,16.0,0.0,
,2013-06-15,,,6.0,17.0875,27.0,61.0,
,2013-06-16,,,7.0,15.5875,16.0,21.0,
,2013-06-17,,,0.0,17.9,8.0,,
,2013-06-18,,,1.0,20.05,10.0,0.0,
,2013-06-19,,,6.0,23.5375,10.0,63.0,
,2013-06-20,,,2.0,21.8375,10.0,,
,2013-06-21,,,7.0,19.575,14.0,63.0,
,2013-06-22,,,6.0,19.7375,10.0,,1.0
,2013-06-23,,,6.0,17.5375,10.0,21.0,1.0
,2013-06-24,,,7.0,15.95,12.0,63.0,1.0
,2013-06-25,,,7.0,15.175,10.0,21.0,1.0
,2013-06-26,,,7.0,13.825,18.0,61.0,1.0
,2013-06-27,,,7.0,12.55,10.0,61.0,1.0
,2013-06-28,,,7.0,13.05,10.0,61.0,1.0
,2013-06-29,,,6.0,14.8375,16.0,61.0,1.0
,2013-06-30,,,7.0,14.0125,15.0,63.0,1.0
,2013-07-01,,,6.0,17.8375,15.0,20.0,
,2013-07-02,,,3.0,17.3125,10.0,,
,2013-07-03,,,7.0,21.075,6.0,61.0,
,2013-07-04,,,7.0,18.85,7.0,20.0,
,2013-07-05,,,5.0,19.975,12.0,,
,2013-07-06,,,0.0,18.9625,8.0,,
,2013-07-07,,,0.0,21.375,9.0,,
,2013-07-08,,,0.0,22.725,10.0,5.0,
,2013-07-09,,,0.0,23.275,8.0,,
,2013-07-10,,,2.0,19.6875,13.0,5.0,
,2013-07-11,,,0.0,21.375,12.0,5.0,
,2013-07-12,,,0.0,20.2875,7.0,,
,2013-07-13,,,1.0,20.125,12.0,,
,2013-07-14,,,5.0,17.6875,15.0,5.0,
,2013-07-15,,,6.0,18.7375,12.0,,
,2013-07-16,,,1.0,21.1875,10.0,,
,2013-07-17,,,5.0,22.5125,8.0,,
,2013-07-18,,,1.0,23.25,11.0,5.0,
,2013-07-19,,,3.0,22.475,16.0,5.0,
,2013-07-20,,,0.0,23.1875,8.0,,
,2013-07-21,,,0.0,26.375,8.0,,
,2013-07-22,,,0.0,26.1,9.0,,
,2013-07-23,,,0.0,24.95,12.0,,
,2013-07-24,,,3.0,24.075,11.0,,
,2013-07-25,,,2.0,23.0875,9.0,,
,2013-07-26,,,3.0,27.2625,6.0,,
,2013-07-27,,,1.0,26.1625,10.0,,
,2013-07-28,,,4.0,24.8875,13.0,61.0,
,2013-07-29,,,1.0,22.7875,10.0,,
,2013-07-30,,,5.0,21.075,13.0,21.0,
,2013-07-31,,,5.0,20.275,16.0,65.0,
,2013-08-01,,,6.0,23.4,7.0,21.0,
,2013-08-02,,,0.0,31.4375,7.0,,
,2013-08-03,,,4.0,23.3625,11.0,63.0,
,2013-08-04,,,3.0,23.05,8.0,,
,2013-08-05,,,0.0,25.8,10.0,,
,2013-08-06,,,5.0,22.225,13.0,,
,2013-08-07,,,4.0,19.2125,8.0,,
,2013-08-08,,,7.0,16.975,12.0,20.0,
,2013-08-09,,,4.0,20.3375,10.0,21.0,
,2013-08-10,,,7.0,19.3625,12.0,61.0,
,2013-08-11,,,7.0,16.3875,9.0,61.0,
,2013-08-12,,,7.0,16.45,11.0,63.0,
,2013-08-13,,,3.0,16.4,16.0,95.0,
,2013-08-14,,,4.0,18.2625,18.0,61.0,
,2013-08-15,,,3.0,19.8,8.0,,
,2013-08-16,,,4.0,23.575,11.0,0.0,
,2013-08-17,,,6.0,20.55,7.0,0.0,
,2013-08-18,,,7.0,18.5875,10.0,63.0,
,2013-08-19,,,5.0,18.4875,8.0,,
,2013-08-20,,,7.0,17.775,8.0,61.0,
,2013-08-21,,,5.0,20.125,8.0,,
,2013-08-22,,,4.0,21.6625,8.0,,
,2013-08-23,,,1.0,22.0375,14.0,,
,2013-08-24,,,0.0,20.85,16.0,5.0,
,2013-08-25,,,0.0,21.3875,16.0,5.0,
,2013-08-26,,,0.0,20.125,15.0,5.0,
,2013-08-27,,,1.0,21.0875,12.0,,
,2013-08-28,,,0.0,21.3,7.0,,
,2013-08-29,,,3.0,20.2125,11.0,,
,2013-08-30,,,6.0,19.7875,8.0,5.0,
,2013-08-31,,,5.0,18.35,16.0,21.0,
,2013-09-01,,,7.0,15.8625,16.0,61.0,
,2013-09-02,,,7.0,16.575,17.0,63.0,
,2013-09-03,,,7.0,18.225,11.0,21.0,
,2013-09-04,,,7.0,18.125,5.0,,
,2013-09-05,,,0.0,21.7,8.0,,
,2013-09-06,,,0.0,24.7,9.0,,
,2013-09-07,,,6.0,22.7625,7.0,,
,2013-09-08,,,7.0,20.1625,8.0,61.0,
,2013-09-09,,,8.0,11.575,11.0,63.0,
,2013-09-10,,,6.0,13.5875,11.0,65.0,
,2013-09-11,,,6.0,13.9,8.0,61.0,
,2013-09-12,,,6.0,16.1125,6.0,61.0,
,2013-09-13,,,6.0,17.4375,5.0,21.0,
,2013-09-14,,,5.0,17.625,10.0,63.0,
,2013-09-15,,,7.0,14.8625,10.0,21.0,
,2013-09-16,,,3.0,13.1375,13.0,21.0,
,2013-09-17,,,5.0,13.1375,10.0,63.0,
,2013-09-18,,,4.0,13.05,9.0,,
,2013-09-19,,,5.0,14.8375,11.0,63.0,
,2013-09-20,,,7.0,13.525,6.0,,
,2013-09-21,,,7.0,15.35,9.0,,
,2013-09-22,,,6.0,17.1375,14.0,21.0,
,2013-09-23,,,7.0,17.3125,14.0,21.0,
,2013-09-24,,,8.0,15.7375,10.0,,
,2013-09-25,,,6.0,13.5375,7.0,61.0,
,2013-09-26,,,1.0,12.9875,12.0,,
,2013-09-27,,,5.0,13.0125,8.0,21.0,
,2013-09-28,,,0.0,13.1,8.0,,
,2013-09-29,,,3.0,14.175,12.0,,
,2013-09-30,,,1.0,12.825,14.0,,
,2013-10-01,,,0.0,12.9125,13.0,5.0,
,2013-10-02,,,1.0,12.7,10.0,,
,2013-10-03,,,0.0,11.7625,12.0,5.0,
,2013-10-04,,,5.0,11.2,8.0,63.0,
,2013-10-05,,,7.0,15.575,8.0,20.0,
,2013-10-06,,,7.0,15.25,6.0,,
,2013-10-07,,,1.0,16.275,7.0,,
,2013-10-08,,,6.0,15.1125,8.0,61.0,
,2013-10-09,,,7.0,14.3125,10.0,21.0,
,2013-10-10,,,5.0,10.975,6.0,,
,2013-10-11,,,7.0,13.8625,20.0,10.0,
,2013-10-12,,,8.0,13.025,21.0,63.0,
,2013-10-13,,,5.0,10.8625,5.0,,
,2013-10-14,,,2.0,12.525,6.0,,
,2013-10-15,,,7.0,10.6625,4.0,63.0,
,2013-10-16,,,8.0,12.275,7.0,,
,2013-10-17,,,7.0,12.0,15.0,65.0,
,2013-10-18,,,1.0,9.075,9.0,,
,2013-10-19,,,7.0,9.45,9.0,,
,2013-10-20,,,7.0,15.1875,8.0,21.0,
,2013-10-21,,,7.0,14.2625,8.0,61.0,
,2013-10-22,,,2.0,17.6375,7.0,,
,2013-10-23,,,6.0,17.675,9.0,,
,2013-10-24,,,5.0,12.6875,12.0,61.0,
,2013-10-25,,,7.0,11.8875,7.0,61.0,
,2013-10-26,,,5.0,16.775,10.0,21.0,
,2013-10-27,,,6.0,14.9875,16.0,65.0,
,2013-10-28,,,7.0,14.3625,29.0,63.0,
,2013-10-29,,,7.0,10.775,17.0,63.0,
,2013-10-30,,,6.0,10.4375,10.0,61.0,
,2013-10-31,,,5.0,11.1625,13.0,21.0,
,2013-11-01,,,8.0,10.625,9.0,63.0,
,2013-11-02,,,8.0,8.8875,3.0,63.0,
,2013-11-03,,,6.0,10.7,15.0,21.0,
,2013-11-04,,,7.0,6.8375,7.0,63.0,
,2013-11-05,,,4.0,8.9,12.0,61.0,
,2013-11-06,,,4.0,8.1375,12.0,63.0,
